DISTRICT,COUNTY/MUNICIPALITY,Constituencies,sub county sn,SUBCOUNTY/ TOWN COUNCIL,parish sn,PARISH/TOWN BOARD/WARD,title,Type of Institution,objectid,date,subject,longitude,latitude,GPS Accuracy,GPS longitude from Handheld Device,GPS Latitude from Handheld Device,enrolTOTALt,tclassroom_pri,Func_perm,Non_Func_perm,Teachers,Non_certified staff,format
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,10,NAMIREMBE,MENGO P./S,Primary only,3371,1897,Government aided,32.560832,0.316273,17,32.560832,0.316273,1032,14,14,,22,11,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,16,NSAMBYA CENTRAL,"ST. JOSEPH,NSAMBYA GIRLS' PRIMARY SCHOOL",Primary only,3274,1903,Government aided,,,,32.58505,0.30196,635,12,12,,28,22,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,11,MAKERERE I,MAKERERE PRIMARY SCHOOL,Primary only,999999,1903,Government aided,32.564922,0.339267,13,32.564922,0.339267,600,12,12,,10,8,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,4,LUBAGA,UGANDA MARTYRS P.S - RUBAGA,Primary only,130288,1905,Government aided,32.551805,0.301008,9,32.551805,0.301008,1161,14,14,,39,17,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,4,LUBAGA,QUEEN OF PEACE P.S - LUBAGA,Primary only,3418,1905,Government aided,32.551812,0.304485,3,32.551812,0.304485,1187,19,19,,20,7,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,16,NSAMBYA CENTRAL,ST. PETERS P.S - NSAMBYA,Primary only,3267,1907,Government aided,,,,32.58989,0.30137,3474,33,33,,68,39,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,12,NATEETE,NATEETE MACKAY PRIMARY SCH,Primary only,3410,1907,Government aided,32.53495,0.308612,5,32.53495,0.308612,711,12,12,,18,9,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,8,KIBULI,KIBULI DEMOSTATION SCHOOL,Primary only,3202,1922,Government aided,32.598697,0.309573,7,32.598697,0.309573,772,16,14,2,43,29,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,20,OLD KAMPALA,OLD KAMPALA PRIMARY SCHOOL,Primary only,3116,1932,Government aided,32.566515,0.31697,7,32.566515,0.31697,1019,14,14,,23,12,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,16,NAKASERO II,BUGANDA ROAD PRIMARY SCHOOL,Primary only,3111,1932,Government aided,32.57517,0.322613,8,32.57517,0.322613,2431,28,28,,55,69,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,11,KISUGU,KISUGU COU P.S,Primary only,3209,1935,Government aided,32.604787,0.303377,6,32.604787,0.303377,708,14,14,,15,6,record
KAMPALA,KCCA,MAKINDYE DIVISION WEST,4,MAKINDYE DIVISION,15,MAKINDYE II,KIBUYE PRIMARY SCHOOL,Primary only,3262,1936,Government aided,32.583205,0.284707,9,32.583205,0.284707,855,10,5,,17,11,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,7,KAZO ANGOLA,KAWEMPE MUSLIM P.S,Primary only,3167,1936,Government aided,32.555648,0.379368,9,32.555648,0.379368,806,16,16,,14,8,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,12,LUZIRA PRISONS,MURCHISON BAY PRIMARY SCHOOL,Primary only,999999,1938,Government aided,32.643717,0.299637,6,32.643717,0.299637,2460,20,20,,35,8,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,18,NSAMBYA POLICE BARRACKS,POLICE CHILDREN SCHOOL,Primary only,999999,1938,Government aided,32.590945,0.308095,6,32.590945,0.308095,1829,18,18,,31,7,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,17,NAKASERO III,NAKASERO PRIMAY SCHOOL,Primary only,3113,1938,Government aided,32.58316,0.321577,14,32.58316,0.321577,2205,27,27,,46,19,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,5,BUTABIKA,ST. JAMES BBINA P.S,Primary only,130120,1939,Government aided,32.653093,0.309425,6,32.653093,0.309425,1700,17,17,,37,8,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,10,NAMIREMBE,NAMIREMBE INFANT PRIMARY SCHOOL,Primary only,3373,1939,Government aided,32.5614,0.318798,9,32.5614,0.318798,835,14,14,,22,11,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,1,BUSEGA,KCCA MUSLIMS GIRLS PRI SCHOOL,Primary only,3118,1945,Government aided,32.526138,0.31251,7,32.526138,0.31251,347,7,7,,9,3,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,6,KAWEMPE II,KAWEMPE MBOGO P.S,Primary only,999999,1946,Government aided,32.565987,0.364838,6,32.565987,0.364838,679,16,16,,28,7,record
KAMPALA,KCCA,MAKINDYE DIVISION EAST,4,MAKINDYE DIVISION,21,NSAMBYA RAILWAY,RAILWAY CHILDREN PRIMARY SCHOOL,Primary only,999999,1947,Government aided,32.585907,0.299687,6,32.585907,0.299687,991,14,14,,19,10,record
KAMPALA,KCCA,RUBAGA DIVISION NORTH,3,RUBAGA DIVISION,5,LUBYA,NAMUNGOONA ORTHODOX,Primary only,3360,1948,Government aided,32.544906,0.337727,10,32.544906,0.337727,470,10,10,,11,3,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,7,MUTUNDWE,KITEBI P/S,Primary only,3394,1950,Government aided,32.546372,0.283437,26,32.546372,0.283437,1487,20,19,1,51,18,record
KAMPALA,KCCA,RUBAGA DIVISION SOUTH,3,RUBAGA DIVISION,7,MUTUNDWE,MUTUNDWE C.O.U PRIMARY SCHOOL,Primary only,999999,1950,Government aided,32.53217,0.29221,7,32.53217,0.29221,439,7,7,,6,4,record
KAMPALA,KCCA,KAWEMPE DIVISION NORTH,2,KAWEMPE DIVISION,1,BWAISE I,BILAL ISLAMIC P.S,Primary only,3126,1950,Private,,,,32.56408,0.3537,656,20,20,,47,17,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,11,LUZIRA,LUZIRA COU PRIMARY SCHOOL,Primary only,999999,1953,Government aided,32.64987,0.301882,15,32.64987,0.301882,952,13,13,,19,7,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,14,MENGO,KYAGGWE ROAD PIMARY,Primary only,3120,1954,Government aided,,,,32.56885,0.30439,395,7,7,,8,4,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,5,BUTABIKA,BBIINA ISLAMIC P.S,Primary only,130119,1954,Government aided,32.651468,0.307913,10,32.651468,0.307913,300,7,7,,8,9,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,17,NAGURU I,ST JUDE PRIMARY SCHOOL NAGGULU,Primary only,999999,1954,Government aided,,,,32.60907,0.33489,980,19,17,2,21,8,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,20,OLD KAMPALA,AGA KHAN PRIMARY SCHOOL,Primary only,3121,1955,Private,32.569603,0.321523,6,32.569603,0.321523,1379,12,12,,69,4,record
KAMPALA,KCCA,KAMPALA CENTRAL DIVISION,1,CENTRAL DIVISION,10,KOLOLO I,SHIMONI DEMONSTRATION SCHOOL,Primary only,3073,1956,Government aided,,,,32.59888,0.033569,576,14,11,3,14,6,record
KAMPALA,KCCA,KAWEMPE DIVISION SOUTH,2,KAWEMPE DIVISION,17,MULAGO II,ST. MARTIN MULAGO P.S,Primary only,130038,1956,Government aided,32.575355,0.345863,6,32.575355,0.345863,1114,14,14,,24,13,record
KAMPALA,KCCA,NAKAWA DIVISION,5,NAKAWA DIVISION,8,KIWATULE,MBAAGA TUZINDE PRIMARY SCHOOL,Primary only,999999,1956,Government aided,32.625535,0.365872,9,32.625535,0.365872,529,7,7,,10,5,record
